,word,freq,map
731,kuliah,411,
732,acara,410,
733,sabtu,410,
734,wkwkwk,410,no
735,min,410,no
736,and,409,no
737,daya,409,
738,lambat,409,
739,persen,408,
740,ki,408,no
741,spt,408,no
742,do,407,no
743,trs,407,no
744,rebah,407,
745,rebak,406,
746,pemda,405,
747,anti,404,
748,sipil,402,
749,world,402,
750,arah,401,
751,halo,400,no
752,lingkung,400,
753,kunci,400,
754,batuk,399,
755,kalah,399,
756,emg,399,no
757,gara-gara,398,gara
758,sore,398,
759,ketat,397,
760,of,397,no
761,wes,397,no
762,maju,396,
763,musim,394,
764,utara,394,
765,lbh,394,no
766,pariwisata,394,
767,lepas,394,
768,tsb,393,no
769,malu,392,
770,sektor,391,
771,tirta,391,
772,akun,391,
773,tinjau,390,
774,hotel,389,
775,guys,389,no
776,peta,389,
777,dirumahsaja,388,
778,jemput,387,
779,mobil,386,
780,isu,386,
781,polda,385,
782,sosialisasi,385,
783,me,385,no
784,kendali,384,
785,cuman,384,no
786,goblok,384,
787,swt,384,no
788,peran,384,
789,vivanews,384,
790,trump,384,
791,nikah,383,
792,wfh,383,
793,kontak,383,
794,nunggu,381,tunggu
795,ra,381,no
796,bersatulawancovid,381,
797,depok,378,
798,pabrik,378,
799,tangkal,378,
800,didu,377,no
801,tv,375,
802,dprd,374,
803,dapet,374,no
804,dpt,373,no
805,lokal,372,
806,keren,371,
807,ma,370,no
808,film,370,
809,silah,370,sila
810,reda,369,
811,sukses,369,
812,titik,368,
813,tahap,367,
814,gabung,367,
815,pasang,365,
816,kec,365,camat
817,jahat,364,
818,taucepattanpabatas,364,
819,lapar,363,
820,divhumas,363,
821,internasional,363,
822,swab,362,
823,lho,362,no
824,rapat,360,
825,istri,360,
826,mulu,360,no
827,diy,359,
828,socialdistancing,359,
829,jamin,359,
830,sing,358,no
831,bu,357,no
832,salat,356,
833,mu,356,no
834,kapolri,356,
835,hand,356,
836,landa,355,
837,waspadaviruscorona,354,
838,pindah,353,
839,wali,352,
840,ntar,352,no
841,tani,352,
842,ilmu,349,
843,bahagia,349,
844,hebat,349,
845,banjir,349,
846,serentak,349,
847,ngeyel,348,eyel
848,singapura,348,
849,latih,347,
850,kemenkes,346,
851,bayang,346,
852,safe,346,
853,humas,345,
854,live,345,
855,lemah,345,
856,guru,345,
857,beritaterkini,345,
858,klik,345,
859,sinergitascegahcovid,344,
860,nakes,344,
861,sabun,344,
862,hewan,344,
863,royong,343,
864,tembus,342,
865,nek,341,no
866,turis,341,
867,gotong,341,
868,partai,341,
869,kesiap,340,siap
870,jenis,340,
871,you,339,no
872,tips,339,
873,motor,338,
874,tanda,338,
875,anjing,337,
876,bahasa,337,
877,gmn,336,no
878,semenjak,336,
879,kelompok,335,
880,pria,335,
881,teriak,335,
882,suspect,334,
883,rugi,334,
884,nomor,334,
885,menkes,334,
886,sungguh,334,
887,istilah,333,
888,rentan,333,
889,lapang,333,
890,karya,333,
891,kapal,332,
892,impor,332,
893,pintu,331,
894,kelas,331,
895,aneh,331,
896,aplikasi,331,
897,tentara,331,
898,bubar,331,
899,muda,330,
900,ulang,330,
901,tangerang,329,
902,observasi,329,
903,lulus,328,
904,raja,328,
905,mesti,328,
906,jalur,327,
907,kawan,327,
908,mui,327,
909,pengaruh,327,
910,mo,327,no
911,neng,326,no
912,msaid,326,
913,makassar,326,
914,lelang,326,
915,ngeri,325,
916,medan,325,
917,triliun,325,
918,niat,325,
919,muhammadiyah,324,
920,skala,324,
921,prabowo,324,
922,tewas,324,
923,industri,323,
924,puluh,323,
925,sisi,322,
926,from,321,no
927,lampung,320,
928,apresiasi,320,
929,udara,320,
930,jatuh,320,
931,heran,319,
932,tunai,318,
933,nasib,318,
934,klaim,318,
935,serikat,318,
936,gabisa,317,no
937,tarik,317,
938,pemkab,316,
939,luhut,316,
940,berkah,316,
941,darah,315,
942,kritik,315,
943,lahir,315,
944,ora,315,no
945,duka,313,
946,knp,312,no
947,pos,312,
948,saksi,312,
949,umrah,311,
950,kaum,311,
951,dm,310,no
952,pahlawan,310,
953,patroli,310,
954,shalat,310,salat
955,asia,309,
956,lucu,309,
957,resiko,309,risiko
958,beneran,308,no
959,ilmuwan,308,
960,liga,308,
961,bosen,308,bosan
962,om,308,no
963,indonesiaterserah,307,
964,marah,306,
965,edukasi,306,
966,btw,306,no
967,rezim,305,
968,sia,305,
969,ttp,304,no
970,perempuan,304,
971,tonton,304,
972,juni,303,
973,seru,303,
974,sumbar,303,
975,mantap,303,
976,gaada,302,no
977,hamil,302,
978,sek,301,no
979,ketupat,301,
980,tangkap,301,
981,fisik,301,
982,dream,301,
983,usul,301,
984,sok,300,
985,gambar,300,
986,ad,300,no
987,pasca,300,
988,didik,299,
989,abk,299,
990,jubir,298,
991,kadrun,298,
992,ak,297,no
993,ulama,296,
994,buku,296,
995,ngasih,296,kasih
996,taat,296,
997,bom,296,
998,artikel,296,
999,uu,296,
1000,byk,295,no
1001,australia,295,
1002,alih,294,
1003,keliling,294,
1004,halaman,294,
1005,februari,293,
1006,alias,293,
1007,ngapain,293,no
1008,abai,292,
1009,pemkot,292,
1010,atlet,291,
1011,dok,291,dokter
1012,nambah,291,
1013,tiket,291,
1014,demokrat,290,
1015,bhabinkamtibmas,290,
1016,cair,289,
1017,ka,288,no
1018,komunis,288,
1019,seng,288,no
1020,bohong,288,
1021,indah,288,
1022,pola,288,
1023,aktif,288,
1024,kendara,287,
1025,jelang,287,
1026,pajak,286,
1027,desak,286,
1028,coronaupdate,286,
1029,kudu,286,no
1030,jkt,286,jakarta
1031,engga,286,no
1032,sila,286,
1033,wisata,285,
1034,hitung,285,
1035,olahraga,285,
1036,yogyakarta,285,
1037,thread,285,
1038,upa,284,no
1039,sumpah,284,
1040,pusing,284,
1041,ig,284,instagram
1042,eropa,284,
1043,suami,284,
1044,tumbuh,284,
1045,amal,283,
1046,bkn,283,no
1047,lancar,283,
1048,sanitizer,283,
1049,ganggu,283,
1050,pacar,282,
1051,joko,282,
1052,bpjs,282,
1053,janji,282,
1054,ncov,282,
1055,jerman,282,
1056,is,280,no
1057,nasi,280,
1058,wisma,279,
1059,hp,279,
1060,buruh,278,
1061,toko,278,
1062,publisherstory,278,
1063,dikit,278,no
1064,level,278,
1065,gilir,278,
1066,mandi,277,
1067,tarawih,277,
1068,bayi,276,
1069,kisah,276,
1070,investasi,276,
1071,mitra,275,
1072,uda,275,no
1073,solo,274,
1074,prihatin,274,
1075,timbang,274,
1076,bumn,274,
1077,nu,273,
1078,kemaren,273,kemarin
1079,nz,273,no
1080,jk,272,
1081,lokasi,272,
1082,putar,271,
1083,teh,270,no
1084,vs,270,no
1085,ngerti,270,erti
1086,terang,269,
1087,for,269,no
1088,nanya,268,no
1089,yak,267,no
1090,heboh,267,
1091,tgl,267,tanggal
1092,on,266,no
1093,kredit,266,
1094,ujung,266,
1095,rw,266,
1096,judul,265,
1097,dpp,265,
1098,januari,264,
1099,tiada,264,
1100,share,264,
1101,wae,263,no
1102,gada,263,no
1103,sambut,263,
1104,ae,263,no
1105,hoaks,263,
1106,riau,263,
1107,klaster,263,
1108,herd,263,
1109,hancur,262,
1110,rendah,262,
1111,staysafe,262,
1112,mba,262,no
1113,rilis,262,
1114,imun,261,
1115,akal,261,
1116,pandang,261,
1117,km,261,no
1118,masak,261,
1119,rupiah,260,
1120,kemensosri,260,
1121,umkm,260,
1122,pmi,260,
1123,proyek,259,
1124,spanyol,259,
1125,gamau,259,no
1126,remeh,259,
1127,beres,258,
1128,aksiberantascovid,258,
1129,tukang,257,
1130,meter,257,
1131,bandel,257,
1132,keluh,256,
1133,ko,256,no
1134,nikmat,256,
1135,puskesmas,256,
1136,with,256,no
1137,teori,255,
1138,panas,255,
1139,buru,255,
1140,karantinawilayah,254,
1141,up,254,no
1142,airin,253,
1143,universitas,253,
1144,hak,253,
1145,tuntut,253,
1146,pasu,253,pasuk
1147,tigasyaratbebascovid,252,
1148,bts,251,
1149,timbul,251,
1150,nongkrong,251,
